"id","firstName","lastName","adp","projectedPoints","slotName","teamName","lineupStatus","byeWeek"
"d18266d5-a877-413b-87ff-32fcb3ecd124","Antonio","Brown","103.0","97.3","WR","Tampa Bay Buccaneers",,
"311dcd8d-7daa-4440-b53a-64a1b5762fc4","Logan","Thomas","103.3","104.4","TE","Washington Football Team",,
"407494db-d38d-4941-beef-18873c363973","James","Conner","104.3","145.6","RB","Arizona Cardinals",,
"6bc6c20f-a7bd-4378-89a9-1d463ec584ad","Michael","Pittman","104.8","148.7","WR","Indianapolis Colts",,
"7429c757-08bf-4277-a9e3-a2ca092235c1","Mike","Williams","106.4","173.7","WR","Los Angeles Chargers",,
"dffa57e5-0ff4-46ef-8ea9-fc9079cd844a","Mecole","Hardman","110.8","128.9","WR","Kansas City Chiefs",,
"f96dd68b-ad82-457d-9435-ca7943a1e292","A.J.","Dillon","110.8","134.0","RB","Green Bay Packers",,
"e75b647c-f420-49c3-b8e6-4bb62f375559","Gus","Edwards","111.0","126.5","RB","Baltimore Ravens",,
"fc037120-1ec1-49c7-95cb-2e04f08bdf00","Matt","Ryan","114.7","319.7","QB","Atlanta Falcons",,
"f11408d9-973c-450b-8a13-2657443ae5ee","Corey","Davis","115.2","173.4","WR","NY Jets",,
"8f8ec083-68c9-4814-bcf7-9e3864384157","DeVante","Parker","116.2","145.1","WR","Miami Dolphins",,
"68cec3ff-68dd-41ac-b91a-a40a850340a9","Irv","Smith","116.5","115.1","TE","Minnesota Vikings",,
"59f5aacb-f39e-4e21-a8c6-6a61ca66d54d","Trevor","Lawrence","117.9","287.2","QB","Jacksonville Jaguars",,
"19efa358-2457-45d5-b8fa-fee14fd47077","Kenyan","Drake","118.0","129.0","RB","Las Vegas Raiders",,
"5d07a264-2036-4cde-b20b-01540ddaef7e","Trey","Lance","118.4","260.3","QB","San Francisco 49ers",,
"16aaff8f-88c8-4043-867d-fc80eaad3aca","Darnell","Mooney","118.7","135.3","WR","Chicago Bears",,
"5efb72e7-06f8-4d00-a7dd-885cf0d982fc","Mike","Gesicki","120.2","104.2","TE","Miami Dolphins",,
"920b154e-e539-427b-876e-4b0ae9251312","David","Johnson","122.0","139.1","RB","Houston Texans",,
"12b00629-de37-472b-84a7-3faef5812d0b","Marvin","Jones","123.9","144.6","WR","Jacksonville Jaguars",,
"2a6c1072-0362-4843-8207-a476abf1a745","Cole","Beasley","125.6","154.1","WR","Buffalo Bills",,
"90d47fb6-e92d-4d43-9622-031a4ae937d0","Jalen","Reagor","126.6","109.5","WR","Philadelphia Eagles",,
"408a5c7a-0a4c-411f-8c21-f5892b4eaa61","Rashod","Bateman","126.8","141.1","WR","Baltimore Ravens",,
"ef041929-c098-4f3f-b39a-ecdb2021d215","Ryan","Tannehill","126.9","274.4","QB","Tennessee Titans",,
"e943bb1c-241b-4205-ad53-531ee244db9c","Robert","Tonyan","127.5","105.2","TE","Green Bay Packers",,
"d05fc267-28aa-4ad7-9620-fdd106498153","Darrell","Henderson","128.3","129.8","RB","Los Angeles Rams",,
"94050cec-d584-442d-afab-cb4be81de8d7","Justin","Fields","128.3","230.6","QB","Chicago Bears",,
"96801a88-90cb-4566-97d6-3a727ebfab27","Nyheim","Hines","131.1","130.1","RB","Indianapolis Colts",,
"faa5ea47-862d-4209-83f4-067684f3f9ba","Gabriel","Davis","132.1","127.5","WR","Buffalo Bills",,
"b584610d-9490-40c1-95e1-2294474a440a","Henry","Ruggs","132.2","143.1","WR","Las Vegas Raiders",,
"dfdeb0bf-da83-41e7-9ef4-873e97e9e8e7","Evan","Engram","132.4","60.9","TE","NY Giants",,
"e393bb26-adf6-472d-bdab-3ca511985052","Latavius","Murray","134.4","133.8","RB","New Orleans Saints",,
"8843ab77-af01-4599-8495-ddbf678ecb3e","Jamaal","Williams","135.0","108.7","RB","Detroit Lions",,
"e43488be-08de-47fc-8174-430a04392668","T.Y.","Hilton","136.7","129.9","WR","Indianapolis Colts",,
"540cd12b-2270-4051-bba2-50d5a14ba02e","Anthony","Firkser","136.7","114.6","TE","Tennessee Titans",,
"4ac48c79-fa45-4ad5-bd56-5632d3d26833","Nelson","Agholor","137.7","141.4","WR","New England Patriots",,
"c5579767-45b7-428a-bbe8-c7e38a075ed9","Russell","Gage","139.6","101.1","WR","Atlanta Falcons",,
"ad0cba30-b012-4a44-b680-c965acc342d6","Tua","Tagovailoa","140.5","269.7","QB","Miami Dolphins",,
"631468e7-df01-4856-86b2-143736e9e9d6","Kirk","Cousins","142.5","274.9","QB","Minnesota Vikings",,
"92f83b60-b243-427b-90a5-8ad667f5069e","Rondale","Moore","142.8","122.1","WR","Arizona Cardinals",,
"33fed901-e5f8-4030-b5b9-a12f61618827","Adam","Trautman","143.2","107.8","TE","New Orleans Saints",,
"76f771da-7602-41d1-8838-3f36399c1c39","Devin","Singletary","143.3","145.9","RB","Buffalo Bills",,
"c311e03c-5219-4da0-a30b-f3baef6100c5","Jonnu","Smith","143.7","108.2","TE","New England Patriots",,
"39447614-c541-4486-830a-34597a01b565","Elijah","Moore","144.4","113.9","WR","NY Jets",,
"8650d1e8-9783-43da-a02e-bffbbbef1d8d","Alexander","Mattison","145.8","95.4","RB","Minnesota Vikings",,
"64591ad5-366a-447a-8134-2e1d2865da19","Baker","Mayfield","148.0","275.1","QB","Cleveland Browns",,
"dbe91621-495b-4f2a-8ccd-2c173402c7f6","Denzel","Mims","149.1","107.7","WR","NY Jets",,
"3fc1a6a5-4d56-4207-8c69-98df195d1a05","Breshad","Perriman","151.9","120.7","WR","Detroit Lions",,
"838c967c-5998-4de3-822a-7d8662daadc4","Ryan","Fitzpatrick","152.2","259.9","QB","Washington Football Team",,
"848ad67a-81d8-4247-bc75-cee25d43a597","Terrace","Marshall Jr","154.0","112.6","WR","Carolina Panthers",,
"52aa5c4a-01c8-4f9f-8d21-cbd3ace4164b","Blake","Jarwin","154.4","47.9","TE","Dallas Cowboys",,
"07455eef-4ece-4b18-a510-9af92edc72eb","Parris","Campbell","154.4","94.7","WR","Indianapolis Colts",,
"9d562735-a712-4b86-9158-a2d51fed4cb5","Rob","Gronkowski","154.7","74.1","TE","Tampa Bay Buccaneers",,
"e3ccb789-e3bb-450c-963c-755622d0c1b1","Carson","Wentz","155.9","262.7","QB","Indianapolis Colts",,
"7206a804-07fe-4d03-8908-9e6ac0e9fddd","J.D.","McKissic","157.6","92.1","RB","Washington Football Team",,
"ddf56e3b-c252-44ab-a6b8-79bd7ce5c6c0","Hunter","Henry","158.0","115.8","TE","New England Patriots",,
"f864ceec-5828-4598-9544-d61e456c6ccd","Tre'Quan","Smith","159.3","105.6","WR","New Orleans Saints",,
"f9a7c542-d1e6-4b81-8599-a5805434a650","John","Brown","162.3","99.7","WR","Las Vegas Raiders",,
"f7606eb2-202f-478e-a88f-0a4e84f2086b","Josh","Reynolds","162.7","113.9","WR","Tennessee Titans",,
"84c117bd-6764-488f-a3ae-3cbd99dfb6c2","Daniel","Jones","164.1","265.6","QB","NY Giants",,
"b206653c-98fa-46a6-8856-64c16f98c68c","Jared","Cook","164.4","73.6","TE","Los Angeles Chargers",,
"c6c2a61c-9dd8-41af-b666-c53586139679","Rashaad","Penny","164.5","89.0","RB","Seattle Seahawks",,
"dff016e8-b9bf-4b58-961e-7014311a2156","Gerald","Everett","165.7","80.5","TE","Seattle Seahawks",,
