Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S2285024295,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,368.20,,15641,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/EXRSERYNM,
S2285024289,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,378.30,,6940,239520,Tournament,0.05,0.15,https://www.fanduel.com/entry/EUMHGRFAK,
S2285024283,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,364.40,,20059,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/EVAETIQYG,
S2285024274,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,356,,34207,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/FAXDCSSAO,
S2285024268,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,359.40,,26798,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/EYTNEAWJE,
S2285024264,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,344.20,,68474,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/EZVIDJUEW,
S2285024258,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,353.10,,40436,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/BHAUXZODI,
S2285024255,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,341.80,,75600,239520,Tournament,0.05,0,https://www.fanduel.com/entry/BHOSKRABE,
S2285024251,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,345.20,,65889,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/BICPXILZA,
S2285024247,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,308.10,,184305,239520,Tournament,0.05,0,https://www.fanduel.com/entry/BEJHMQGOC,
S2285024187,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,368,,15916,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/BUKKCUABM,
S2285024179,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,355.60,,35689,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/BREZETGOK,
S2285024172,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,356.70,,32895,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/BSGUECEKC,
S2285024167,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,351.90,,47929,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/BSURQTQHY,
S2285024162,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,317.80,,157208,239520,Tournament,0.05,0,https://www.fanduel.com/entry/BXPVAUTOO,
S2285024151,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,345.90,,64251,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/BZFNMVDIC,
S2285024145,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,357.30,,30950,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/BWACOUJVA,
S2285024140,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,354.80,,37787,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/BWOABLVSW,
S2285024134,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,341.60,,76406,239520,Tournament,0.05,0,https://www.fanduel.com/entry/DKQTPVFNI,
S2285024128,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,358.60,,28484,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/DLSOPEDJA,
S2285024117,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,350,,53246,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/DGXLFGTBA,
S2285024111,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,390.40,,1673,239520,Tournament,0.05,0.25,https://www.fanduel.com/entry/DHLIRYEYW,
S2285024106,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,354,,39063,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/DEFXTXLLU,
S2285024101,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,325.40,,131667,239520,Tournament,0.05,0,https://www.fanduel.com/entry/DETVGOXJQ,
S2285024095,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,374.50,,9151,239520,Tournament,0.05,0.15,https://www.fanduel.com/entry/DFHSTGJHM,
S2285024089,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,362.90,,21740,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/ESIRIGVGG,
S2285024082,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,364.20,,20375,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/ESWOUYHEC,
S2285024076,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,342.40,,74283,239520,Tournament,0.05,0,https://www.fanduel.com/entry/ETKMHPTBY,
S2285024069,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,371.30,,12414,239520,Tournament,0.05,0.12,https://www.fanduel.com/entry/ETYJUHEZU,
S2285024060,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,339.40,,84198,239520,Tournament,0.05,0,https://www.fanduel.com/entry/EQFBJOZOW,
S2285024040,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,380,,5967,239520,Tournament,0.05,0.15,https://www.fanduel.com/entry/BHOSKYLYK,
S2285024037,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,318,,156092,239520,Tournament,0.05,0,https://www.fanduel.com/entry/BEXEZPEJE,
S2285024034,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,346.10,,63469,239520,Tournament,0.05,0.10,https://www.fanduel.com/entry/BFLCMGQHA,
S2285024030,nba,2020/12/26,$10K Sat NBA Piggy Bank Shot,$60k,380.80,,5478,239520,Tournament,0.05,0.15,https://www.fanduel.com/entry/BFYZYYCEW,
