Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1206374007,nba,2017/04/24,$20K Mon NBA Swat (3 Entries Max),$60k,213.80,,22395,23529,Tournament,1,0,https://www.fanduel.com/entry/ENXYHDUES,
S1206372432,nba,2017/04/24,$20K Mon NBA Swat (3 Entries Max),$60k,219.30,,21874,23529,Tournament,1,0,https://www.fanduel.com/entry/BEFUJPNOK,
S1206370925,nba,2017/04/24,$20K Mon NBA Swat (3 Entries Max),$60k,313.40,,690,23529,Tournament,1,3.00,https://www.fanduel.com/entry/EFXJVQKSG,
S1206368457,nba,2017/04/24,$250 NBA Mini Dribbler (Single Entry),$60k,273,,124,294,Tournament,1,0,https://www.fanduel.com/entry/DDAPOUYQS,
S1206356649,mlb,2017/04/24,$12K Mon MLB Bunt (Single Entry),$35k,73.70,,12209,14117,Tournament,1,0,https://www.fanduel.com/entry/BGJKRIGWO,
S1206355829,nba,2017/04/24,$22K Mon NBA Dribbler (Single Entry),$60k,262.90,,12907,25882,Tournament,1,0,https://www.fanduel.com/entry/DHHVXYJPY,
S1205937909,mlb,2017/04/23,$5K Sun MLB Stolen Base (Single Entry),$35k,101.70,,2048,2941,Tournament,2,0,https://www.fanduel.com/entry/BGXHHMIEB,
S1205810764,nba,2017/04/23,$20K Sun NBA Swat (3 Entries Max),$60k,247,,8674,23529,Tournament,1,0,https://www.fanduel.com/entry/CYFLRWGFB,
S1205810742,nba,2017/04/23,$20K Sun NBA Swat (3 Entries Max),$60k,283.90,,1946,23529,Tournament,1,2.00,https://www.fanduel.com/entry/BPLUGBFTQ,
S1205810291,nba,2017/04/23,$20K Sun NBA Swat (3 Entries Max),$60k,259.70,,5768,23529,Tournament,1,0,https://www.fanduel.com/entry/FGCQHBOXV,
S1205803820,nba,2017/04/23,$2K NBA Mini Swat (Experienced Players Excluded),$60k,283.90,,196,2245,Tournament,1,3.00,https://www.fanduel.com/entry/CWBVSIAVZ,
S1205800413,nba,2017/04/23,$250 NBA Mini Dribbler (Single Entry),$60k,237.30,,155,294,Tournament,1,0,https://www.fanduel.com/entry/CTYGAJLRN,
S1205799316,nba,2017/04/23,$15K Sun NBA Dribbler (Single Entry),$60k,247,,6664,17647,Tournament,1,0,https://www.fanduel.com/entry/CDXDKUPYP,
S1205714892,mlb,2017/04/23,$250 MLB Mini Sac Fly,$35k,98.90,,237,294,Tournament,1,0,https://www.fanduel.com/entry/BLENPELMQ,
S1205687618,mlb,2017/04/23,$250 MLB Mini Bunt,$35k,127.80,,105,294,Tournament,1,0,https://www.fanduel.com/entry/EEVPRCDZO,
S1205574123,mlb,2017/04/23,$250 MLB Mini Sac Fly,$35k,108.20,,164,294,Tournament,1,0,https://www.fanduel.com/entry/CDXDVVSRM,
S1205572598,mlb,2017/04/23,$8K Sun MLB Bunt (Single Entry),$35k,129.80,,3150,9411,Tournament,1,0,https://www.fanduel.com/entry/BTFCIHLDU,
S1205461534,mlb,2017/04/22,$250 MLB Mini Bunt,$35k,155.10,,81,294,Tournament,1,0,https://www.fanduel.com/entry/DTBRZQSYY,
S1205126766,mlb,2017/04/22,$250 MLB Mini Sac Fly,$35k,177.20,,24,294,Tournament,1,3.00,https://www.fanduel.com/entry/DLPBMKWCR,
S1205117300,mlb,2017/04/22,$250 MLB Mini Bunt,$35k,149,,90,294,Tournament,1,0,https://www.fanduel.com/entry/BSDHCIZUB,
S1204832581,mlb,2017/04/22,$8K Sat MLB Bunt (Single Entry),$35k,126.60,,4970,9411,Tournament,1,0,https://www.fanduel.com/entry/AAHFUJDFT,
S1204725833,mlb,2017/04/21,$250 MLB Mini Bunt,$35k,156.10,,31,294,Tournament,1,2.50,https://www.fanduel.com/entry/AVRITSYXV,
S1204569521,mlb,2017/04/21,$250 MLB Mini Bunt,$35k,138.80,,79,294,Tournament,1,0,https://www.fanduel.com/entry/EKEQPRFMR,
S1204554136,mlb,2017/04/21,$250 MLB Mini Sac Fly,$35k,68.20,,264,294,Tournament,1,0,https://www.fanduel.com/entry/BZCABAYLI,
S1204554013,mlb,2017/04/21,$12K Fri MLB Bunt (Single Entry),$35k,92.60,,8991,14117,Tournament,1,0,https://www.fanduel.com/entry/FAFSEKUEO,
S1204543662,nba,2017/04/21,$250 NBA Mini Dribbler (Single Entry),$60k,230.80,,158,294,Tournament,1,0,https://www.fanduel.com/entry/BETRORJEC,
S1204300841,nba,2017/04/21,$250 NBA Mini Dribbler (Single Entry),$60k,267.60,,43,294,Tournament,1,2.50,https://www.fanduel.com/entry/BSRDZKANA,
S1204289241,nba,2017/04/21,NBA Fantasy Playoffs presented by Bud Light ,$60k,235.10,,22637,46554,Tournament,0,0,https://www.fanduel.com/entry/EGLHAKUKO,
S1204289199,nba,2017/04/21,$22K Fri NBA Dribbler (Single Entry),$60k,235.10,,12602,25882,Tournament,1,0,https://www.fanduel.com/entry/FDLCYWIAC,
S1204062157,mlb,2017/04/20,$250 MLB Mini Bunt,$35k,83.40,,188,294,Tournament,1,0,https://www.fanduel.com/entry/DMQWVCDMZ,
S1203864198,mlb,2017/04/20,$250 MLB Mini Sac Fly,$35k,59.60,,259,294,Tournament,1,0,https://www.fanduel.com/entry/DOUMQIMLK,
S1203864183,mlb,2017/04/20,$250 MLB Mini Sac Fly,$35k,85.40,,175,294,Tournament,1,0,https://www.fanduel.com/entry/DZMOJESZW,
S1203857110,mlb,2017/04/20,$250 MLB Mini Bunt,$35k,64.90,,253,294,Tournament,1,0,https://www.fanduel.com/entry/CGORTGFVC,
S1203717526,mlb,2017/04/20,$12K Thu MLB Bunt (Single Entry),$35k,64.60,,11991,14117,Tournament,1,0,https://www.fanduel.com/entry/CWBWWZZHY,
S1203620641,nba,2017/04/20,NBA Fantasy Playoffs presented by Bud Light ,$60k,270.20,,14290,53683,Tournament,0,0,https://www.fanduel.com/entry/AEOKZFUME,
S1203615673,nba,2017/04/20,$250 NBA Mini Swat,$60k,282.80,,40,294,Tournament,1,2.50,https://www.fanduel.com/entry/EAALTHBXC,
S1203596865,nba,2017/04/20,$250 NBA Mini Swat,$60k,270.10,,88,294,Tournament,1,0,https://www.fanduel.com/entry/AWTEBNWQU,
S1203595853,nba,2017/04/20,$250 NBA Mini Dribbler (Single Entry),$60k,270.20,,102,294,Tournament,1,0,https://www.fanduel.com/entry/AUPODSKRC,
S1203594961,nba,2017/04/20,$25K Thu NBA Dribbler (Single Entry),$60k,241.20,,18541,29407,Tournament,1,0,https://www.fanduel.com/entry/AKZHJMLFG,
S1203098669,mlb,2017/04/19,$250 MLB Mini Sac Fly,$35k,189.60,,14,294,Tournament,1,4.00,https://www.fanduel.com/entry/ABWXMSRII,
S1203095744,mlb,2017/04/19,$250 MLB Mini Bunt,$35k,83.40,,239,294,Tournament,1,0,https://www.fanduel.com/entry/BLSLFHKEU,
S1203087691,mlb,2017/04/19,$12K Wed MLB Bunt (Single Entry),$35k,189.60,,419,14117,Tournament,1,4.00,https://www.fanduel.com/entry/DQKFATVUY,
S1203077326,nba,2017/04/19,$250 NBA Mini Dribbler (Single Entry),$60k,310.60,,60,294,Tournament,1,2.50,https://www.fanduel.com/entry/BBOHDZJTC,
S1203042218,nba,2017/04/19,NBA Fantasy Playoffs presented by Bud Light ,$60k,246.10,,44031,55756,Tournament,0,0,https://www.fanduel.com/entry/DIJQDBNWF,
S1203041848,nba,2017/04/19,$250 NBA Mini Dribbler (Single Entry),$60k,329.70,,28,294,Tournament,1,2.50,https://www.fanduel.com/entry/EKSMYNCNL,
S1203000032,nba,2017/04/19,$250 NBA Mini Dribbler (Single Entry),$60k,250,,246,294,Tournament,1,0,https://www.fanduel.com/entry/BJOVXGCIV,
S1202884614,nba,2017/04/19,$250 NBA Mini Dribbler (Single Entry),$60k,246.10,,240,294,Tournament,1,0,https://www.fanduel.com/entry/FCXGGZNKP,
S1202792500,nba,2017/04/19,$22K Wed NBA Dribbler (Single Entry),$60k,315.40,,3343,25882,Tournament,1,2.00,https://www.fanduel.com/entry/CCHKUMJRL,
S1202293935,mlb,2017/04/18,$250 MLB Mini Bunt,$35k,65.70,,266,294,Tournament,1,0,https://www.fanduel.com/entry/BFHPRVPZS,
S1202102643,mlb,2017/04/18,$250 MLB Mini Sac Fly,$35k,49.50,,290,294,Tournament,1,0,https://www.fanduel.com/entry/FEMYMCXST,
S1202100024,mlb,2017/04/18,$250 MLB Mini Sac Fly,$35k,118.40,,95,294,Tournament,1,0,https://www.fanduel.com/entry/ARYALPWPN,
S1202097429,mlb,2017/04/18,$250 MLB Mini Sac Fly,$35k,114.50,,110,294,Tournament,1,0,https://www.fanduel.com/entry/BHZDDIQNR,
S1202094463,mlb,2017/04/18,$250 MLB Mini Bunt,$35k,116.60,,98,294,Tournament,1,0,https://www.fanduel.com/entry/BFHPOZBBN,
S1202091160,mlb,2017/04/18,$12K Tue MLB Bunt (Single Entry),$35k,58.70,,13415,14117,Tournament,1,0,https://www.fanduel.com/entry/DHHWBNPEX,
S1202088259,nba,2017/04/18,$250 NBA Mini Dribbler (Single Entry),$60k,272.50,,108,294,Tournament,1,0,https://www.fanduel.com/entry/DNSRUSNGT,
S1202039510,nba,2017/04/18,$250 NBA Mini Dribbler (Single Entry),$60k,274.30,,81,294,Tournament,1,0,https://www.fanduel.com/entry/FBVLDMMDO,
S1202009439,nba,2017/04/18,$250 NBA Mini Dribbler (Single Entry),$60k,283.20,,48,294,Tournament,1,2.50,https://www.fanduel.com/entry/BGXHGETOF,
S1202008452,nba,2017/04/18,NBA Fantasy Playoffs presented by Bud Light ,$60k,287.70,,6295,52903,Tournament,0,0,https://www.fanduel.com/entry/CUMDIAKJL,
S1202008384,nba,2017/04/18,$20K Tue NBA Dribbler (Single Entry),$60k,287.70,,2983,23529,Tournament,1,2.00,https://www.fanduel.com/entry/ECRYNSJUR,
S1201602015,mlb,2017/04/17,$250 MLB Mini Sac Fly,$35k,116.60,,114,294,Tournament,1,0,https://www.fanduel.com/entry/BNIDFKHJV,
S1201592836,mlb,2017/04/17,$250 MLB Mini Bunt,$35k,79.70,,248,294,Tournament,1,0,https://www.fanduel.com/entry/CXDRBKMZB,
S1201516539,mlb,2017/04/17,$250 MLB Mini Bunt,$35k,53.40,,278,294,Tournament,1,0,https://www.fanduel.com/entry/EXAHTHPTS,
S1201514122,mlb,2017/04/17,$250 MLB Mini Sac Fly,$35k,172.90,,10,294,Tournament,1,5.00,https://www.fanduel.com/entry/EVYMQQYDW,
S1201509833,mlb,2017/04/17,$10K Mon MLB Bunt (Single Entry),$35k,102.30,,6465,11764,Tournament,1,0,https://www.fanduel.com/entry/AGSBFUSBS,
S1201375467,nba,2017/04/17,NBA Fantasy Playoffs presented by Bud Light ,$60k,299.80,,3275,46626,Tournament,0,0,https://www.fanduel.com/entry/FGCRBWFYC,
S1201373573,nba,2017/04/17,$15K Mon NBA Dribbler (Single Entry),$60k,299.80,,1261,17647,Tournament,1,2.50,https://www.fanduel.com/entry/APUKLXYDQ,
S1200937944,nba,2017/04/16,$250 NBA Mini Dribbler (Single Entry),$60k,270.20,,154,294,Tournament,1,0,https://www.fanduel.com/entry/FDZAQZLUR,
S1200783961,nba,2017/04/16,$250 NBA Mini Dribbler (Single Entry),$60k,237,,252,294,Tournament,1,0,https://www.fanduel.com/entry/CWPUBMXDV,
S1200783059,nba,2017/04/16,$250 NBA Mini Dribbler (Single Entry),$60k,255.60,,211,294,Tournament,1,0,https://www.fanduel.com/entry/ELGLCRLUT,
S1200718663,nba,2017/04/16,NBA Fantasy Playoffs presented by Bud Light ,$60k,317.90,,2249,40800,Tournament,0,0,https://www.fanduel.com/entry/AIHTPUWOU,
S1200718429,nba,2017/04/16,$15K Sun NBA Dribbler (Single Entry),$60k,317.90,,1114,17647,Tournament,1,2.50,https://www.fanduel.com/entry/APUKLMTHW,
S1200229295,nba,2017/04/15,$250 NBA Mini Dribbler (Single Entry),$60k,287.60,,68,294,Tournament,1,0,https://www.fanduel.com/entry/CTYGBFVCQ,
S1200044592,nba,2017/04/15,NBA Fantasy Playoffs presented by Bud Light ,$60k,280.10,,16523,62240,Tournament,0,0,https://www.fanduel.com/entry/ETUXHPNSC,
S1200043752,nba,2017/04/15,$250 NBA Mini Dribbler (Single Entry),$60k,280.10,,89,294,Tournament,1,0,https://www.fanduel.com/entry/FFAVHSQVR,
S1200021374,nba,2017/04/15,$250 NBA Mini Swat,$60k,308.60,,6,294,Tournament,1,7.00,https://www.fanduel.com/entry/CSINQMZWT,
S1200015377,nba,2017/04/15,$250 NBA Mini Dribbler (Single Entry),$60k,244.30,,240,294,Tournament,1,0,https://www.fanduel.com/entry/AUBPYVKJZ,
S1200015199,nba,2017/04/15,$250 NBA Mini Dribbler (Single Entry),$60k,176.40,,294,294,Tournament,1,0,https://www.fanduel.com/entry/AWTDKMDWL,
S1199690399,mlb,2017/04/14,$250 MLB Mini Bunt,$35k,89.60,,253,294,Tournament,1,0,https://www.fanduel.com/entry/COBHZWPBC,
S1199610233,mlb,2017/04/14,$250 MLB Mini Sac Fly,$35k,199.70,,1,294,Tournament,1,30.00,https://www.fanduel.com/entry/CARTDKKAR,
S1199607659,mlb,2017/04/14,$250 MLB Mini Bunt,$35k,145.40,,84,294,Tournament,1,0,https://www.fanduel.com/entry/CADVRTATD,
S1199436533,mlb,2017/04/14,$250 MLB Mini Sac Fly,$35k,107.20,,211,294,Tournament,1,0,https://www.fanduel.com/entry/DVTFNLKPO,
S1199433395,mlb,2017/04/14,$12K Fri MLB Bunt (Single Entry),$35k,153.60,,2182,14117,Tournament,1,2.50,https://www.fanduel.com/entry/DYKSWBWFC,
S1199429590,mlb,2017/04/14,$250 MLB Mini Bunt,$35k,130.60,,128,294,Tournament,1,0,https://www.fanduel.com/entry/BYAFISSXW,
S1199255152,mlb,2017/04/13,$250 MLB Mini Sac Fly,$35k,146.30,,38,294,Tournament,1,2.50,https://www.fanduel.com/entry/CRUPXGALJ,
S1199241399,mlb,2017/04/13,$250 MLB Mini Sac Fly,$35k,161,,22,294,Tournament,1,3.00,https://www.fanduel.com/entry/CRUQEZJOP,
S1199236756,mlb,2017/04/13,$250 MLB Mini Bunt,$35k,102.50,,178,294,Tournament,1,0,https://www.fanduel.com/entry/FEMYCJJFZ,
S1198485793,mlb,2017/04/12,$250 MLB Mini Bunt,$35k,73.70,,267,294,Tournament,1,0,https://www.fanduel.com/entry/DKNGZSBNU,
S1198480683,mlb,2017/04/12,$10K Wed MLB Bunt (Single Entry),$35k,140.70,,2049,11764,Tournament,1,2.00,https://www.fanduel.com/entry/CHCPDMHOS,
S1196805419,mlb,2017/04/10,$250 MLB Mini Sac Fly,$35k,92.80,,189,294,Tournament,1,0,https://www.fanduel.com/entry/BEFUKASBK,
S1196804406,mlb,2017/04/10,$250 MLB Mini Sac Fly,$35k,142.50,,52,294,Tournament,1,2.50,https://www.fanduel.com/entry/EEVOWLFMI,
S1196793425,mlb,2017/04/10,$250 MLB Mini Bunt,$35k,114.30,,119,294,Tournament,1,0,https://www.fanduel.com/entry/BCQBZWUPW,
S1196789855,mlb,2017/04/10,$9K Mon MLB Bunt (Single Entry),$35k,70.10,,9409,10588,Tournament,1,0,https://www.fanduel.com/entry/AXHBKEXVO,
S1196256246,mlb,2017/04/09,$250 MLB Mini Sac Fly,$35k,48.90,,287,294,Tournament,1,0,https://www.fanduel.com/entry/EZRVOOEPO,
