Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1819466601,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,119.32,,286378,383233,Tournament,0.25,0,https://www.fanduel.com/entry/EUNVLKYDV,
S1819462445,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,103.92,,342800,383233,Tournament,0.25,0,https://www.fanduel.com/entry/EVBSVQZZF,
S1819460056,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,170.74,,53278,383233,Tournament,0.25,0.50,https://www.fanduel.com/entry/EWRLNVSLF,
S1819458540,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,148.74,,136716,383233,Tournament,0.25,0,https://www.fanduel.com/entry/DHMXAZUMT,
S1819455736,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,152.22,,119417,383233,Tournament,0.25,0,https://www.fanduel.com/entry/BSWFWYQXN,
S1819419819,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,118.84,,288574,383233,Tournament,0.25,0,https://www.fanduel.com/entry/AQNIKLJPK,
S1819415065,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,141.24,,173926,383233,Tournament,0.25,0,https://www.fanduel.com/entry/DNJUTLVWU,
S1819411604,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,136.54,,198837,383233,Tournament,0.25,0,https://www.fanduel.com/entry/CRZRIENPS,
S1819404026,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,155.54,,104983,383233,Tournament,0.25,0,https://www.fanduel.com/entry/ELLLXOIZC,
S1819401785,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,153.06,,115568,383233,Tournament,0.25,0,https://www.fanduel.com/entry/DZDRYDKQM,
S1819399212,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,170.16,,54716,383233,Tournament,0.25,0.50,https://www.fanduel.com/entry/CAIWRUDZG,
S1819394870,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,209.06,,5618,383233,Tournament,0.25,1.00,https://www.fanduel.com/entry/ANVVNDMUM,
S1819381160,nfl,2019/10/06,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,135.76,,202963,383233,Tournament,0.25,0,https://www.fanduel.com/entry/BISBVFLQI,
